2024-12-04 11:13:19 | INFO | controller | names: ['http://SH-IDCA1404-10-140-54-108:20003'], queue_lens: [0.0], ret: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:13:19 | INFO | stdout | INFO:     10.140.37.163:56476 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:13:21 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:13:21 | INFO | stdout | INFO:     10.140.54.5:46500 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:13:25 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:13:25 | INFO | stdout | INFO:     10.140.54.108:43029 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:13:47 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:13:47 | INFO | stdout | INFO:     10.140.54.108:43046 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:14:06 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:14:06 | INFO | stdout | INFO:     10.140.54.5:46520 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:14:10 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:14:10 | INFO | stdout | INFO:     10.140.54.108:43054 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:14:33 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:14:33 | INFO | stdout | INFO:     10.140.54.108:43060 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:14:51 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:14:51 | INFO | stdout | INFO:     10.140.54.5:46536 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:14:55 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:14:55 | INFO | stdout | INFO:     10.140.54.108:43068 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:15:18 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:15:18 | INFO | stdout | INFO:     10.140.54.108:43076 - "POST /receive_heart_beat HTTP/1.1" 200 OK
